Tag,Description,Relationship,Example
!--  --,Defines a comment,supported by HTML 5,comments are only visible to developers
!DOCTYPE,Defines the document type,supported by HTML 5,Used with the html tag to define an html document
a,Defines a hyperlink,supported by HTML 5,Link to <a href='https://www.w3schools.com/'>w3schools</a>
abbr,Defines an abbreviation or an  acronym,supported by HTML 5,<abbr>byob</abbr>
acronym,Defines an acronym,Not supported in HTML5. Use abbr instead,<abbr>byob</abbr>
address,Defines contact information for the author or owner of a document or article,supported by HTML 5,<address>Contact Me: <a href='mailto:alb2301@email.cpcc.edu'>Adam</a> 123 CPCC Ln</address>
applet,Defines an embedded applet,Not supported in HTML5,Use embed or object instead
area,Defines an area inside an image map,supported by HTML 5,Used with the map tag to turn parts of an image into separate links
article,Defines an article,supported by HTML 5,An article should make sense on its own and it should be possible to distribute it independently from the rest of the site
aside,Defines content aside from the page content,supported by HTML 5,The aside content should be indirectly related to the surrounding content.
audio,Defines sound content,supported by HTML 5,Used to play an audio file on a web page
b,Defines bold text,supported by HTML 5,<b>This is some bold text</b>
base,Specifies the base URL or target for all relative URLs in a document,supported by HTML 5,There can only be one single base element in a document and it must be inside the head element
basefont,"Specifies a default color, size, and font for all text in a document",Not supported in HTML5. Use CSS instead,It's not safe to use this tag when validating        
bdi,Isolates a part of text that might be formatted in a different direction from other text outside it,supported by HTML 5,Useful for working with unfamiliar characters
bdo,Overrides the current text direction,supported by HTML 5,<bdo dir='rtl'>This tag can make text display backwards</bdo>
big,Defines big text,Not supported in HTML5. Use CSS instead,It's not safe to use this tag when validating
blockquote,Defines a section that is quoted from another source,supported by HTML 5,Browsers usually indent blockquote elements
body,Defines the document's body,supported by HTML 5,All the content for the page belongs here 
br,Inserts a single line break,supported by HTML 5,Causes content to move<br> to a new line
button,Defines a clickable button,supported by HTML 5,<button>Button</button>
caption,Defines a table caption,supported by HTML 5,The table caption is displayed on top of the table
canvas,"Used to draw graphics, on the fly, via scripting (usually JavaScript)",supported by HTML 5,Add to your blank canvas with the power of Javascript
